id	text	location	time_zone	date
417995113164718080	@samcallahan94 what's your New Years resolution?😊xxx	10/12/13 tristan 1/4	Casablanca	Tue Dec 31 12:26:15 +0000 2013
417995156659658752	@samcallahan94 what's your New Years resolution?😊xx	10/12/13 tristan 1/4	Casablanca	Tue Dec 31 12:26:25 +0000 2013
417995177559883776	@samcallahan94 what's your New Years resolution?😊xxxx	10/12/13 tristan 1/4	Casablanca	Tue Dec 31 12:26:30 +0000 2013
417995191262654464	Prepare yourselves for people talking about there New Years Resolution they end up breaking✋	Kent	Amsterdam	Tue Dec 31 12:26:34 +0000 2013
417995194810642433	New years resolution is secret with me.	Subang, Malaysia	Kuala Lumpur	Tue Dec 31 12:26:35 +0000 2013
417995196207738880	I think for my New Years resolution I have to do a few things which are as follows:	Manchester	London	Tue Dec 31 12:26:35 +0000 2013
417995203988168704	For your New Years resolution, most of you need to stop letting people walk all over you.		Atlantic Time (Canada)	Tue Dec 31 12:26:37 +0000 2013
417995221516173312	Now for my next act, I will need one moron, one new years resolution, one bottle of cheap alcohol and many bad decisions. Any volunteers????	Nairobi, Kenya	Moscow	Tue Dec 31 12:26:41 +0000 2013
417995249693503488	My New Years Resolution is to write 2014 instead of 2013		Casablanca	Tue Dec 31 12:26:48 +0000 2013
417995257771728897	My new years resolution will be to get 1/5	JAMES/5	London	Tue Dec 31 12:26:50 +0000 2013
417995260179255296	my New Years resolution I think is to just not give a fuck anymore	exasperable.tumblr.com	Beijing	Tue Dec 31 12:26:50 +0000 2013
417995261932105728	Fuc a New Years Resolution bc it seem like I get closer to tha streets than God himself every year Smh	Houston Tx.	Mountain Time (US & Canada)	Tue Dec 31 12:26:51 +0000 2013
417995275811454976	"New Years resolution has to be: Stop saying ""lol"" after everything in all of my messages 😳"	London by way of a Plane	London	Tue Dec 31 12:26:54 +0000 2013
417995280919691266	New Years resolution &lt;3		Hong Kong	Tue Dec 31 12:26:55 +0000 2013
417995292399505408	"2013 new years resolution: to lose weight
ending 2013 still fat"		Hong Kong	Tue Dec 31 12:26:58 +0000 2013
417995309114216448	My new years resolution is to keep doing the same thing i been doing. Cause i been doing pretty damn good.	N 42� 9' 0'' / W 76� 50' 0''	Eastern Time (US & Canada)	Tue Dec 31 12:27:02 +0000 2013
417995311895048192	And my resolution for New Years is nigga we made it		Central Time (US & Canada)	Tue Dec 31 12:27:02 +0000 2013
417995340239736833	"Bringing you some New Years Eve holiday hits is Peter Halpin! We just heard the bluesy Lil Son Jackson's ""New Years Resolution"""	Halifax, Nova Scotia	Brasilia	Tue Dec 31 12:27:09 +0000 2013
417995340584071168	I'm not gonna do a New Years resolution. I'll tackle my problems head on when they come at me #.#	In some messed up FANDOM	London	Tue Dec 31 12:27:09 +0000 2013
417995344098918400	Ice cream also. @SYK_14: New years resolution: doughnuts.	Valley of the dolls	Quito	Tue Dec 31 12:27:10 +0000 2013
417995349308243968	My New Years resolution is to be more laid back		London	Tue Dec 31 12:27:11 +0000 2013
417995362104639488	That's my only New Years Resolution is to do nothing but what makes me happy!  #happyhappyhappy	Never, Neverland	Pacific Time (US & Canada)	Tue Dec 31 12:27:14 +0000 2013
417995374138507264	Writing a 2014 New Years resolution list	Sydney, Australia	Sydney	Tue Dec 31 12:27:17 +0000 2013
417995386754977793	I have actually made myself a New Years resolution and I'm gonna try literally my best to keep to it	essex	London	Tue Dec 31 12:27:20 +0000 2013
417995421362167808	not even going to bother to have a new years resolution because I never keep it	england	Amsterdam	Tue Dec 31 12:27:29 +0000 2013
417995432212828160	Last year my new years resolution was to go to more concerts and meet more of my fav artists...it's the first resolution i've achieved :')	England	Casablanca	Tue Dec 31 12:27:31 +0000 2013
417995443805904897	New Years Resolution: Make sure i'm more organized and actually make some decent plans for next New Year.	Burnley	Amsterdam	Tue Dec 31 12:27:34 +0000 2013
417995451694981120	@Jray915 sleep in?!?! Maybe get the New Years resolution jump started a day early with a workout?!?! #NYE2013		Eastern Time (US & Canada)	Tue Dec 31 12:27:36 +0000 2013
417995459278290944	New Years resolution - as a middle aged male I would like to drop two bra sizes by 2015		Eastern Time (US & Canada)	Tue Dec 31 12:27:38 +0000 2013
417995466572574720	Pizza too. “@MAckles_: Ice cream also. @SYK_14: New years resolution: doughnuts.”	Kuwait	Kuwait	Tue Dec 31 12:27:39 +0000 2013
417995499665637376	Hmm New Years resolution thinking time... Do I even bother?:/	Where the boss unicorns live	London	Tue Dec 31 12:27:47 +0000 2013
417995509434183680	Everyone thinks I'm a slut already so I might as well be one. New Years resolution :):):)		Amsterdam	Tue Dec 31 12:27:50 +0000 2013
417995509232844801	My New Years resolution is to make sure @SophieRainey is no longer my friend. Bad influence	uk	Amsterdam	Tue Dec 31 12:27:50 +0000 2013
417995532393807873	New years resolution is to cut down the amount of soft drink I use to dilute my vodka, Cutting down on sugar 😃	All over the Place!!	London	Tue Dec 31 12:27:55 +0000 2013
417995535136882688	New Years resolution, less melt.		Arizona	Tue Dec 31 12:27:56 +0000 2013
417995582230102017	my new years resolution is to be meaner and hotter	@awwnarryx is my cunt	Beijing	Tue Dec 31 12:28:07 +0000 2013
417995590505480192	“@flowercrownixll: New Years Resolution: Stop saying badwords, and to study more bc im graduating elementary. Yep” Goodluck 💋😘	U N D E F I N E D	Arizona	Tue Dec 31 12:28:09 +0000 2013
417995604296744960	"""@moey_8: Am I the only one who never has new years resolution/s.."" nope."	Johannesburg - South Africa	Pretoria	Tue Dec 31 12:28:12 +0000 2013
417995635472625666	I'm not making a new years resolution because I simply do not give a fuck	Trim Co. Meath	Casablanca	Tue Dec 31 12:28:20 +0000 2013
417995645455437824	There is no point in me making a new years resolution, i last about one day then give up		Edinburgh	Tue Dec 31 12:28:22 +0000 2013
417995646709161985	Just in relation to the tweet a few days ago, I still have not thought about a new years resolution omg	australia	Brisbane	Tue Dec 31 12:28:22 +0000 2013
417995658012786688	New years resolution: Complete the tasks set out in the Spitting Image chicken song!		London	Tue Dec 31 12:28:25 +0000 2013
417995667559440385	"Every time I see a post for someone's New Years resolution to ""drop 20lbs"" or ""hit the gym every morning"" I cry."	Atlanta, GA	Quito	Tue Dec 31 12:28:27 +0000 2013
417995670323482624	new years resolution: unfollow anyone who says 'new year, new me!'	scotland	Casablanca	Tue Dec 31 12:28:28 +0000 2013
417995678133268480	and my resolution for New Years is.. nigga we made it ! 💃		Casablanca	Tue Dec 31 12:28:30 +0000 2013
417995699029278721	@chanellejhayes oh Chanelle you really do struggle to let things go...I sense a New Years resolution for you? Have a good one babe 😘		Hawaii	Tue Dec 31 12:28:35 +0000 2013
417995701319372802	This year I am definitely going to stick to my New Years resolution.		Casablanca	Tue Dec 31 12:28:35 +0000 2013
417995704460902400	New Years resolution: have no enemies, stop eating so much mcdonalds, and stop being an emotional bitch ✌️ #wishmeluck	Galway City	Dublin	Tue Dec 31 12:28:36 +0000 2013
417995733946482688	You know you're white if you've brought up new years resolution five times in the past week.		Eastern Time (US & Canada)	Tue Dec 31 12:28:43 +0000 2013
417995734185562112	Happy New Years Eve. What's your resolution? Dieting?	Pittsburgh PA	Eastern Time (US & Canada)	Tue Dec 31 12:28:43 +0000 2013
417995749780365312	My new years resolution is to be nicer to people and to not care about bullshit as much.	rook islands	Amsterdam	Tue Dec 31 12:28:47 +0000 2013
417995752388841472	New Years resolution? To convert as many people as I can to #kpop, haha.	Sydney, Australia	Sydney	Tue Dec 31 12:28:48 +0000 2013
417995753970077696	@thewanted MY NEW YEARS RESOLUTION IS FOR YOU TO FOLLOW ME GUYS CAN YOU PLEASE PLEASE DO IT ILYGSM❤️		Singapore	Tue Dec 31 12:28:48 +0000 2013
417995765315686400	New Years resolution is to still be playing in March @rachaelkfool #wnbl #playoffs		Brisbane	Tue Dec 31 12:28:51 +0000 2013
417995772521480193	ive never actually achieved a new years resolution	nottingham	Casablanca	Tue Dec 31 12:28:52 +0000 2013
417995772651507713	I really really hope I can stick to my New Years resolution about getting my body for prom 👍👍👍👍👍👍👍👍👍		Pacific Time (US & Canada)	Tue Dec 31 12:28:52 +0000 2013
417995775411372032	An encouragement 4 ur New Years resolution: God is wit u. He'll help u mk spiritual progress—strengthenin n encouragin u 2 keep on keepin on	Trinidad & Tobago	Eastern Time (US & Canada)	Tue Dec 31 12:28:53 +0000 2013
417995798542966784	New years resolution? Pfffft nothin gonna change nigga	Shah Alam	Alaska	Tue Dec 31 12:28:59 +0000 2013
417995813173067776	So it's that time of the year where everyone is going to be tweeting their new years resolution....what's yours? #NewYearResolution	Manchester	Lisbon	Tue Dec 31 12:29:02 +0000 2013
417995825391091712	New Years resolution: get taller #Everyyear		Amsterdam	Tue Dec 31 12:29:05 +0000 2013
417995827144298496	New Years resolution: stop getting sick! I'm sick of getting sick. #notcool #NewYearsResolution	SUBSCRIBE	Eastern Time (US & Canada)	Tue Dec 31 12:29:05 +0000 2013
417995853857845248	New Years resolution: To count how many slices of bacon I eat in 2014		Amsterdam	Tue Dec 31 12:29:12 +0000 2013
417995860409331712	New Years Resolution: To have no New Years Resolution. Hope that's not a oxymoron	Scranton, Pa	Quito	Tue Dec 31 12:29:13 +0000 2013
417995898077978624	"“@thatUPSdude: My New Years resolution is to illegally obtaining more nudes of girls and posting them without consent.”

This has more truth"	watching you masturbate.	Eastern Time (US & Canada)	Tue Dec 31 12:29:22 +0000 2013
417995906407874561	And no, this isn't a New Years resolution. 👌		Central Time (US & Canada)	Tue Dec 31 12:29:24 +0000 2013
417995928893947905	I think ima get a new number for New Years lol I think that's goin be my only resolution 😁😩😂😂	IN THE ☁'s	Mountain Time (US & Canada)	Tue Dec 31 12:29:30 +0000 2013
417995929602756608	@Annmariakelly thats mt new years resolution!!		Casablanca	Tue Dec 31 12:29:30 +0000 2013
417995935902224384	New Years Resolution: Find Kony.	Leeds, UK	London	Tue Dec 31 12:29:31 +0000 2013
417995940998311936	@kategarciaa_ Ano New Years Resolution mo? =&gt;		Beijing	Tue Dec 31 12:29:32 +0000 2013
417995942613098496	new years resolution: stop being a desperate, dependent, pathetic piece of shit		Atlantic Time (Canada)	Tue Dec 31 12:29:33 +0000 2013
417995956584345600	new years resolution: get a job	Sydney, NSW	Sydney	Tue Dec 31 12:29:36 +0000 2013
417995982216134656	Mama asked me what my New Years Resolution was.. Like she don't know that I'm already perfect 😌	VENUS	Eastern Time (US & Canada)	Tue Dec 31 12:29:42 +0000 2013
417996003300888576	early this year my new years resolution was to be a vegetarian and i did towards the end of the year im pretty impressed	singapore	Singapore	Tue Dec 31 12:29:47 +0000 2013
417996007331213313	For my New Years resolution, I will promise to leave the Old Forest.	Middle-Earth	Pacific Time (US & Canada)	Tue Dec 31 12:29:48 +0000 2013
417996015824687104	new years resolution: punuin ang planner from day one	London	Hong Kong	Tue Dec 31 12:29:50 +0000 2013
417996023068237825	new years' resolution: 5/5		Beijing	Tue Dec 31 12:29:52 +0000 2013
417996040508162049	my new years resolution is to actually keep to my new years resolution this year	09/10/13	Singapore	Tue Dec 31 12:29:56 +0000 2013
417996043272613889	New Years resolution to keep being a 100% bossman 😏	LEEEEEDS CITYYYYY	Amsterdam	Tue Dec 31 12:29:57 +0000 2013
417996043939086337	My new years resolution is to get a job and have better grades!  and have a bf HAHAHAHAHAHAHAHAHAHAHAH jokes	Sydney, Aust	Hawaii	Tue Dec 31 12:29:57 +0000 2013
417996055121506304	My only New Years resolution is to not sob all the way through the new episode of Sherlock.		London	Tue Dec 31 12:30:00 +0000 2013
