id	text	location	time_zone	date
418359964194070528	New Years Resolution : Don't fuck up	London	London	Wed Jan 01 12:36:02 +0000 2014
418359964970008576	New Years Resolution, do 365 things in 2014 that make me smile!!! And not let 365 get me down!! Makes for a happy New Year!			Wed Jan 01 12:36:03 +0000 2014
418359966907375616	My New Years resolution to drink less coffee is about to be broken.	Alexandria, VA	Eastern Time (US & Canada)	Wed Jan 01 12:36:03 +0000 2014
418359966991654913	@denise_swords my New Years resolution is to make you my girlfriend	Kettering/Cheltenham, UK		Wed Jan 01 12:36:03 +0000 2014
418359982938390528	New years resolution: stop blacking out every fucking time we leave the house lmao		Eastern Time (US & Canada)	Wed Jan 01 12:36:07 +0000 2014
418359987593678848	New Years resolution: to continue to grow in Christ	chicago	Central Time (US & Canada)	Wed Jan 01 12:36:08 +0000 2014
418359991658369025	My New Years resolution is to be as jokes as I was last year.			Wed Jan 01 12:36:09 +0000 2014
418359991968735232	"""@molonation: I am not going to set a new years resolution because I kmow by February I would have broken it"":""D"	Port Elizabeth. South Africa		Wed Jan 01 12:36:09 +0000 2014
418359992828567552	@BVShowbiz My new years resolution is to get more free bets	Plym	London	Wed Jan 01 12:36:09 +0000 2014
418359995466805248	New Years resolution is to talk to @sphfrrll more and always have a iPhone 5 charger at hand for @IzzyYeardley hahahaha	Sheffield	Amsterdam	Wed Jan 01 12:36:10 +0000 2014
418359996787589121	New years resolution: go outside, read more books, get a bike, do something with my life, understand that I am my own keeper👐			Wed Jan 01 12:36:10 +0000 2014
418360004404850688	my New Years resolution is to lose more weight and to be even more sassy 👯	Bradford	Amsterdam	Wed Jan 01 12:36:12 +0000 2014
418360012218855424	My new years resolution... To get my haircut	doncaster, united kindom		Wed Jan 01 12:36:14 +0000 2014
418360034238533632	My New Years resolution is to perfect my pullout game	everywhere i go	Greenland	Wed Jan 01 12:36:19 +0000 2014
418360037560811520	@kimengelbrecht aww man and my dam new years resolution is to sleep less :/ happy new year Kim :)	cape town south africa		Wed Jan 01 12:36:20 +0000 2014
418360040589131776	I might make a New Years resolution video and then if I make none of them happen I can get people to shame me 😀		London	Wed Jan 01 12:36:21 +0000 2014
418360048491180032	@DevonHaas do you have a New Years resolution? :)			Wed Jan 01 12:36:22 +0000 2014
418360050915086336	My new years resolution is 3840×2160		London	Wed Jan 01 12:36:23 +0000 2014
418360056548450304	New Years resolution #3:  spend less time talking about juggling, more time juggling.	Nashville, TN	Central Time (US & Canada)	Wed Jan 01 12:36:24 +0000 2014
418360066928939008	My new years resolution is to be awesome. Considering that is my default state of being, it shouldn't be too hard to achieve.	St Kilda, Vic	New Caledonia	Wed Jan 01 12:36:27 +0000 2014
418360079143145472	@KatieWillxo is your New Years resolution to take more selfies? I didn't see enough in 2013 😆	Abbots Langley		Wed Jan 01 12:36:30 +0000 2014
418360081650954240	New years resolution program activated.Bismillah		Bangkok	Wed Jan 01 12:36:30 +0000 2014
418360089276588032	I wonder how many times I'll smash my phone this year, New Years resolution, not to smash phone 😂 👊			Wed Jan 01 12:36:32 +0000 2014
418360090769780736	@DannyO I wish you all the best for 2014! Glad you had a nice new years eve:) My new years resolution is to get a follow from you!Love you♥♥	Michael's pocket✪	London	Wed Jan 01 12:36:33 +0000 2014
418360091952553984	New Years Resolution: Finish uni application, for God's sake.	Scranton, Pennsylvania	London	Wed Jan 01 12:36:33 +0000 2014
418360094540455936	Don't have a New Years resolution It doesn't make a difference 😒			Wed Jan 01 12:36:33 +0000 2014
418360103272984576	My new years resolution is 1024 x 768	Caerdydd	London	Wed Jan 01 12:36:36 +0000 2014
418360107010117632	My New Years resolution is to do good in my GCSE's. #Resolution2014	Luton		Wed Jan 01 12:36:36 +0000 2014
418360107173289984	"""@viatumblr: New Years Resolution: Be true. Be obedient. Be more positive. Be more healthy in all things."""	Libya	Hawaii	Wed Jan 01 12:36:36 +0000 2014
418360110831140864	New Years Resolution. 1. 12% Bodyfat by Feb 26th. 2. Single figure handicap by July. 3. Enjoy it!	bedfordshire	Amsterdam	Wed Jan 01 12:36:37 +0000 2014
418360113792299008	#HappyNewYear 2014! New years #resolution - I will learn to knit, knitting book bought, now just to get the knitting needles and wool! :)	Glasgow		Wed Jan 01 12:36:38 +0000 2014
418360116753072128	"""@viatumblr: New Years Resolution: Be true. Be obedient. Be more positive. Be more healthy in all things."""			Wed Jan 01 12:36:39 +0000 2014
418360129818349568	New years resolution is To be more handsome than I already am, its gonna be tough but i'll give it a go! :) Happy New Year xx	chennai	Chennai	Wed Jan 01 12:36:42 +0000 2014
418360130003300352	@_kimberleyyyyy @sbiscuits is that your New Years resolution? Master sleep walking. LOVE YOU REALLY 😘			Wed Jan 01 12:36:42 +0000 2014
418360136726740992	This will be the last year I make my New Years resolution to lose weight #summerbod 👙☀	Leicester/Derby		Wed Jan 01 12:36:44 +0000 2014
418360136764493824	my new years resolution is to get a star wars tattoo.			Wed Jan 01 12:36:44 +0000 2014
418360139314638848	New Years resolution is too get into shape			Wed Jan 01 12:36:44 +0000 2014
418360159966986240	I think the best New Years Resolution is to be happy :)	Adelaide		Wed Jan 01 12:36:49 +0000 2014
418360161884176384	New Years resolution: control how much I drink?	London		Wed Jan 01 12:36:50 +0000 2014
418360174735556608	My New Years resolution is to shed some timber! I'm packing serious meat and I don't mean that in a good way!		Casablanca	Wed Jan 01 12:36:53 +0000 2014
418360176971096065	New Years resolution: To never drink again!	Kent	Casablanca	Wed Jan 01 12:36:53 +0000 2014
418360189382066176	@Zoe93 New Years resolution maybe? 😜	Surrey	Casablanca	Wed Jan 01 12:36:56 +0000 2014
418360189705003008	My New Years resolution is to grow a beard like @DanielGuite's	Essex/Reading		Wed Jan 01 12:36:56 +0000 2014
418360201113501696	@MarcDe_ath new years resolution No.1: must get avatar back	Essex		Wed Jan 01 12:36:59 +0000 2014
418360201457459200	My New Years resolution most likely isn't going to last	It's probably raining	Amsterdam	Wed Jan 01 12:36:59 +0000 2014
418360204825485312	"my 2014 new years resolution: buy a neat 4k display + the new Mac Pro. YEEES YEEESSSS
#apple #bestofthebest"	Kingdom of Sweden		Wed Jan 01 12:37:00 +0000 2014
418360206225985536	new years resolution: dont suck at everything and be more optimistic 😂😏			Wed Jan 01 12:37:00 +0000 2014
418360209166585856	@TreMelvin I have so much respect for you regarding your New Years Resolution video! It didn't change anything! Because you're you!	Swindon	Casablanca	Wed Jan 01 12:37:01 +0000 2014
418360214359126016	My new years resolution is to not change my hair colour this year!	Leeds	London	Wed Jan 01 12:37:02 +0000 2014
418360219455213568	My New Years resolution is to stay away from anyone with a penis. Boys are stupid. HAPPY NEW YEAR! 🎉		Amsterdam	Wed Jan 01 12:37:03 +0000 2014
418360233237291008	My New Years Resolution is to have more naps.	Scarborough	London	Wed Jan 01 12:37:07 +0000 2014
418360236559581184	I don't have a new years resolution:o	berkshire		Wed Jan 01 12:37:07 +0000 2014
418360240586108928	My new years resolution is to stop drunk texting - or at least become good at it..	london	London	Wed Jan 01 12:37:08 +0000 2014
418360241932091392	no point giving yourself one of those penitential New Years resolution so in 2014 I'm going to try tasting a new beer every week instead	Galway		Wed Jan 01 12:37:09 +0000 2014
418360266016169985	New Years resolution: give up mcdonalds. Well it lasted 12 hours.	Warwick	London	Wed Jan 01 12:37:14 +0000 2014
418360268042010624	My New Years resolution is to make sure I don't end up kissing @chapple8000 at midnight next NYE. New year new me 💩	The royal county		Wed Jan 01 12:37:15 +0000 2014
418360275016761344	New Years resolution: buy toothpaste based on how I great I think it'll taste rather than it's actual dental hygienic value.		Atlantic Time (Canada)	Wed Jan 01 12:37:16 +0000 2014
418360275130404865	Almost 1pm and still no inspirational new years resolution words from mark white #disappointed @Matt_C_Williams @BenNashville02	Nelson	Hawaii	Wed Jan 01 12:37:17 +0000 2014
418360275323326465	@jaycooooob Will probably tell me to kill my slef within 5 minutes of me getting online that's his New Years resolution out the window😂	Rotherham	Amsterdam	Wed Jan 01 12:37:17 +0000 2014
418360283049254912	"New Years resolution no chocolate or biscuits 
Except cadburys and marry lands ;)
Only joking I'm going to give it all up!!!"			Wed Jan 01 12:37:18 +0000 2014
418360294306770944	news years resolution is to relax n take a year to think of a New Years resolution	landan(kent)-bromnarm/orpnarm		Wed Jan 01 12:37:21 +0000 2014
418360298945658880	My New Years resolution is to spend less time naked in @akaWhayman's room	New Forest/Pourtsmuth	London	Wed Jan 01 12:37:22 +0000 2014
418360299729604608	So New Years resolution. Ummmm try harder....with stuff......n things...	North Vancouver		Wed Jan 01 12:37:22 +0000 2014
418360303462940672	Can't think straight the state I'm in.. New Years resolution can wait until tomorrow! Got that love/hate relationship with alcohol #SOS	Bridport, Dorset	Casablanca	Wed Jan 01 12:37:23 +0000 2014
418360316310065153	Your New Years resolution should be to stop fkin indirecting me !!			Wed Jan 01 12:37:26 +0000 2014
418360319573241856	"""@Pheelip_jr: Na waw oo see this small girl oo""@emz_purple: My new years resolution is to be meaner and hotter."""" ^^"	longitude 15゜E		Wed Jan 01 12:37:27 +0000 2014
418360330159652864	new years resolution - never leave my bed	Aberdeen, Scotland	Edinburgh	Wed Jan 01 12:37:30 +0000 2014
418360333032382464	"""@viatumblr: New Years Resolution: Be true. Be obedient. Be more positive. Be more healthy in all things."""	The House Kingdom of Heaven.	Bangkok	Wed Jan 01 12:37:30 +0000 2014
418360343640154112	I think I've come up with a realistic New Years resolution	London	Casablanca	Wed Jan 01 12:37:33 +0000 2014
418360356931907584	Is marks new years resolution to be nicer? Stay posted	Ipswich, UK		Wed Jan 01 12:37:36 +0000 2014
418360358840320000	New years resolution is to stop pushing everyone away that mean something to me &amp; get a decent job☺	Padgate, Warrington	London	Wed Jan 01 12:37:36 +0000 2014
418360358936793088	New Years resolution: Work even harder for the people of #leedscentral &amp; #leeds Looking after the many not the vested interests of a few.	Leeds, Yorkshire	London	Wed Jan 01 12:37:36 +0000 2014
418360364120940544	New Years resolution lasted about 12 hours, be rude not to today @WillHillBet		London	Wed Jan 01 12:37:38 +0000 2014
418360364699779072	Think my new years resolution is to stop drinking, lets see how this goes ey		London	Wed Jan 01 12:37:38 +0000 2014
418360369346666496	"""@viatumblr: New Years Resolution: Be true. Be obedient. Be more positive. Be more healthy in all things."""	fangirl ❤	Atlantic Time (Canada)	Wed Jan 01 12:37:39 +0000 2014
418360371448410112	Your New Years resolution should be to brush your teeth.	Horsham, England	London	Wed Jan 01 12:37:39 +0000 2014
418360373822361601	I've officially worked out what my New Years resolution is gonna be, and this time I'm determined to stick to it!	brighton	Casablanca	Wed Jan 01 12:37:40 +0000 2014
418360381359542272	My New Years resolution is to complete a photo challenge	UK	Amsterdam	Wed Jan 01 12:37:42 +0000 2014
418360382101929984	New Years Resolution is to learn the new year song..	Chesterfield.	Amsterdam	Wed Jan 01 12:37:42 +0000 2014
418360387944611840	New Years resolution was no boys or kissing but realistically nahhhh		Edinburgh	Wed Jan 01 12:37:43 +0000 2014
418360395208736768	MY NEW YEARS RESOLUTION IS TO BEAT CANDY CRUSH OMFG	The Ghetto	Saskatchewan	Wed Jan 01 12:37:45 +0000 2014
418360403861995520	The only New Years resolution I have is to be the best person I can be for @Nolo_10 ♡		Greenland	Wed Jan 01 12:37:47 +0000 2014
418360416876912640	My new year resolution is no New Years resolutions. #paradox	Oop North	London	Wed Jan 01 12:37:50 +0000 2014
418360419787751424	For my New Years resolution I'm going to give up saying I'm giving up stuff #2014			Wed Jan 01 12:37:51 +0000 2014
418360420345188352	New years resolution is to be better at people	Michigan	Eastern Time (US & Canada)	Wed Jan 01 12:37:51 +0000 2014
418360420500402176	@markthomaslife my new years resolution is to do EVERY SINGLE challenge that you've posted on youtube. #whynot #Imgoingtodie	Melbourne Australia	Wellington	Wed Jan 01 12:37:51 +0000 2014
418360421020864512	Making it my new years resolution to watch more sports	Birmingham UK	London	Wed Jan 01 12:37:51 +0000 2014
418360422396604417	Ok “@Burmese_Tyga: Ur New years resolution shud be..to start being realistic! @somienaughty: If ManUtd beats spurs today, the BPL is ours...	US: 4.850856,6.947515	Amsterdam	Wed Jan 01 12:37:52 +0000 2014
418360437290569728	Now on @jacarandafm New years resolution Comedy by Dave Matthews.Has New years resolutions worked for you before? 37942. In for @BarneySimon	Midrand South Africa	Athens	Wed Jan 01 12:37:55 +0000 2014
418360437315756032	My one and only New Years resolution was to go for a walk at 7am this morning. I woke up at 11am and it was lashing 💁	leprachauns	Dublin	Wed Jan 01 12:37:55 +0000 2014
418360452067098624	"""@_Aseeya: Mean girl loool:)) ""@emz_purple: My new years resolution is to be meaner and hotter.""""hehehe"	longitude 15゜E		Wed Jan 01 12:37:59 +0000 2014
418360459331244033	New years resolution is to appreciate myself even more.	Danau kota	Kuala Lumpur	Wed Jan 01 12:38:00 +0000 2014
418360470043901952	Hanging on New Years Day is fast becoming my New Years resolution every year. It is the only one I stick to haha! #happynewyear	Reading	London	Wed Jan 01 12:38:03 +0000 2014
418360472325595136	I'm never drinking again &amp; I mean it that's my New Years resolution 😷😖	LONDONCITY.♥	Casablanca	Wed Jan 01 12:38:04 +0000 2014
418360472879235072	Can't wait to start my New Years resolution tomorrow			Wed Jan 01 12:38:04 +0000 2014
418360472833114112	New Years resolution - see @agirlnamed ALOT more		London	Wed Jan 01 12:38:04 +0000 2014
418360475903328256	Not even made a New Years resolution .. Thinking about just dropping off the face of the earth for a bit 😏 I think that sounds a plan	Derbyshire, UK		Wed Jan 01 12:38:04 +0000 2014
418360489739943936	My new years resolution is_________?		Jakarta	Wed Jan 01 12:38:08 +0000 2014
418360502956613632	@Millerlite40 @AggieFootball new years resolution for everyone: acknowledge Johnny Football's awesomeness. Von got in early.	Edinburgh, UK	Edinburgh	Wed Jan 01 12:38:11 +0000 2014
418360507003723776	New Years resolution: Stop running from the things I'm afraid of and just face my fears.		Atlantic Time (Canada)	Wed Jan 01 12:38:12 +0000 2014
418360511164469248	New Years resolution - no more chocolates - at least for a few months....	Scotland	London	Wed Jan 01 12:38:13 +0000 2014
418360514020769793	@JimsTweetings JIM GUESS WHAT MY NEW YEARS RESOLUTION IS TO GET YOU TO TWEET ME PLS MAKE IT HAPPEN	Australia.	Sydney	Wed Jan 01 12:38:13 +0000 2014
418360517372026880	“@viatumblr: New Years Resolution: Don't look back, but move forward.”			Wed Jan 01 12:38:14 +0000 2014
418360521067597824	My new years resolution is to remain the same. There was nothing wrong with me last year so no need for change.	LDN TOWN	London	Wed Jan 01 12:38:15 +0000 2014
