id	text	location	time_zone	date
418099965513056257	My New Years resolution is to not be a douche... Totally kidding I have no intention of changing my lifestyle		Pacific Time (US & Canada)	Tue Dec 31 19:22:54 +0000 2013
418099966465564672	What was my last years New Years resolution?..		Eastern Time (US & Canada)	Tue Dec 31 19:22:54 +0000 2013
418099968344621056	"My New Years resolution is to take more risks......
Jk it's to eat more cake 
I like cake"	Narnia		Tue Dec 31 19:22:55 +0000 2013
418099972295258113	How are you gonna have a New Years resolution about me !!	| St. Cloud |	Mountain Time (US & Canada)	Tue Dec 31 19:22:55 +0000 2013
418099972585054208	New Years resolution buy the most band merch in 1 year (; #NewYearsResolution			Tue Dec 31 19:22:56 +0000 2013
418099972849291264	My only New Years resolution is to have a New Years resolution.	Native Uptownian	Quito	Tue Dec 31 19:22:56 +0000 2013
418099976083103745	Fuck a New Years resolution, I changed my life a couple months ago I don't gotta wait till a new year to change my life.	queens		Tue Dec 31 19:22:56 +0000 2013
418099976137609217	My New Years resolution is to learn how to not park like an asshole	Yardley, PA	Pacific Time (US & Canada)	Tue Dec 31 19:22:56 +0000 2013
418099979400388608	NewYears Resolution: listen to New Years Day by @OfficialBVB over and over. Best. Resolution. Ever.			Tue Dec 31 19:22:57 +0000 2013
418099979547598848	Real New Years Resolution: pizza pizza pizza	wherever the partys at		Tue Dec 31 19:22:57 +0000 2013
418099982466809859	@Calum5SOS it's New Years and my resolution is to get you to follow me. I'll pay you in apples. have a happy New Years my love :D ilysm 6	steph is the love of my life	Atlantic Time (Canada)	Tue Dec 31 19:22:58 +0000 2013
418099982722289664	"""My New Years resolution is to connect more on LinkedIn"" -some douche out there #NewYearsResolution"	Seattle	Central Time (US & Canada)	Tue Dec 31 19:22:58 +0000 2013
418099983053631488	Imagine how good you'd feel if you actually finished a New Years resolution		Eastern Time (US & Canada)	Tue Dec 31 19:22:58 +0000 2013
418099983724711936	New Years resolution - to look less like a potato		Nuku'alofa	Tue Dec 31 19:22:58 +0000 2013
418099983812816896	My New Years resolution is to get a closer relationship with God and not let anything or anyone get in the way of that	texas		Tue Dec 31 19:22:58 +0000 2013
418099983746101248	“@stonervibe: my new years resolution is to do whatever the fuck i want lol”		Central Time (US & Canada)	Tue Dec 31 19:22:58 +0000 2013
418099986388115457	Gotta stop giving these social networks so many emotions my 1 and only New Years resolution ..	Long Beach	Pacific Time (US & Canada)	Tue Dec 31 19:22:59 +0000 2013
418099988758286336	My New Years resolution is to get back into a university!	Minnesota	Central Time (US & Canada)	Tue Dec 31 19:22:59 +0000 2013
418099989358080000	New years resolution:  Get rich or die trying		Eastern Time (US & Canada)	Tue Dec 31 19:23:00 +0000 2013
418099990917955585	My New Years resolution is to have none. Also expect the unexpected.	California	Pacific Time (US & Canada)	Tue Dec 31 19:23:00 +0000 2013
418099990247264256	New Years resolution never happens cuz it's an big ego trip that always turn out worst		Quito	Tue Dec 31 19:23:00 +0000 2013
418099992880898049	New Years Resolution is flip more packs this year !			Tue Dec 31 19:23:00 +0000 2013
418099992835137537	“@ayeeebaybayy: Some of you people need to make your New Years resolution to not complain about EVERY.LITTLE.THING” TRUUUU	sc	Quito	Tue Dec 31 19:23:00 +0000 2013
418099994508283904	My new years resolution is to drink more then I did in 2013	las vegas		Tue Dec 31 19:23:01 +0000 2013
418099995229708289	My New Years resolution is to work out and look sexy af like never before		Central Time (US & Canada)	Tue Dec 31 19:23:01 +0000 2013
418099995548860417	New Years Resolution #8: Stop walking around in circles when I'm at the bars.	ATL and the Boro, GA	Eastern Time (US & Canada)	Tue Dec 31 19:23:01 +0000 2013
418099998090203136	My New Years resolution is to stop being fat	wherever i'm thrown	Arizona	Tue Dec 31 19:23:02 +0000 2013
418099998367031296	My New Years resolution is to follow future New Years resolutions	Louisiana, USA	Eastern Time (US & Canada)	Tue Dec 31 19:23:02 +0000 2013
